;;;;;;;;;;;;;;;;;;
;[Microeletrônica Geral] Matriz Instrucional;;   CH Total Síncrona (h):;4:00;Atenção: Não é necessário preencher manualmente a tabela ao lado. Todos os valores serão calculados e atualizados automaticamente por meio das fórmulas já configuradas.;;;;;;;;;;;;;
;;;   CH Total Assíncrona (h):;6:35;;;;;;;;;;;;;;
;Data de Criação: 09/07/2025;;   CH Atividades (h):;0:00;;;;;;;;;;;;;;
;Carga Horária do Curso: 320h;;   Carga Horária Total (h):;10:35;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Nº Capítulo;Nome Capítulo;Conteúdo (resumo);Nº Objetivo Educacional;Objetivo Educacional;Nível (TRB);Papéis e atores;Objetos de Aprendizagem;Nº Objetos de Aprendizagem;CH Síncrona (min);CH Assíncrona  (min);Período (dias);Ferramentas;Atividade Formativa;Atividade Somativa;CH Atividades (min);Atividade Pontuação;Feedback
;1;Fundamentos de eletrônica digital 1;Este capítulo apresenta os fundamentos essenciais da eletrônica digital, abordando conceitos de Álgebra Booleana e técnicas de simplificação de circuitos. São exploradas as portas lógicas básicas e complexas, bem como o funcionamento e as aplicações de elementos sequenciais como flip-flops, registradores, contadores e multiplexadores.;1;Proporcionar a compreensão dos fundamentos da eletrônica digital, abrangendo a Álgebra Booleana e as técnicas de simplificação de circuitos, o funcionamento das portas lógicas básicas e complexas, bem como a operação e as características de flip-flops, registradores, contadores e multiplexadores, de forma a fundamentar o projeto e a análise de sistemas digitais.;Compreender (Entendimento) - Descrever, Explicar, Identificar.;"Estudantes: Participação ativa em discussões e atividades práticas.

Mentores: Facilitação das discussões e orientação nas atividades práticas.";Vídeo aula (roteiro;3;0;120;2;AVA;Não prevista;Quiz;;0-10;Ao final do capítulo, feedback via ferramenta de tarefas.
;1;Fundamentos de eletrônica digital 1;Idem.;1;Idem.;Idem.;Idem.;Slide;3;0;0;0;AVA;Não prevista;Não prevista;;Idem;idem
;1;Fundamentos de eletrônica digital 1;Idem.;2;"Proporcionar a complementação do conteúdo por meio de encontros síncronos com o tutor,
permitindo que os alunos esclareçam dúvidas surgidas nas videoaulas do capítulo 3.";Idem.;Idem.;Plano de Aula;1;120;0;1;Plataforma de videoconferência;Não prevista;Não prevista;;Idem;idem
;1;Fundamentos de eletrônica digital 1;Idem.;3;Aplicar, de forma prática, os princípios da eletrônica digital utilizando o software Logisim para o estudo da Álgebra Booleana e a simplificação de circuitos, a análise de portas lógicas básicas e complexas, e a investigação do funcionamento de flip-flops, registradores, contadores e multiplexadores, visando desenvolver competências para o projeto e a avaliação de sistemas digitais.;Idem.;Idem.;Vídeo aula (roteiro;1;;40;1;AVA;Não prevista;Atividade Aberta;;Idem;idem
;2;Fundamentos de eletrônica digital 2;Este capítulo apresenta os fundamentos essenciais da eletrônica digital, abordando conceitos de Álgebra Booleana e técnicas de simplificação de circuitos. São exploradas as portas lógicas básicas e complexas, bem como o funcionamento e as aplicações de elementos sequenciais como flip-flops, registradores, contadores e multiplexadores.;1;Proporcionar a compreensão dos fundamentos da eletrônica digital, abrangendo a Álgebra Booleana e as técnicas de simplificação de circuitos, o funcionamento das portas lógicas básicas e complexas, bem como a operação e as características de flip-flops, registradores, contadores e multiplexadores, de forma a fundamentar o projeto e a análise de sistemas digitais.;Compreender (Entendimento) - Descrever, Explicar, Identificar.;"Estudantes: Participação ativa em discussões e atividades práticas.

Mentores: Facilitação das discussões e orientação nas atividades práticas.";Vídeo aula (roteiro;3;0;120;2;AVA;Não prevista;Quiz;;0-10;Ao final do capítulo, feedback via ferramenta de tarefas.
;2;Fundamentos de eletrônica digital 2;Idem.;1;Idem.;Idem.;Idem.;Slide;3;0;0;0;AVA;Não prevista;Não prevista;;Idem;idem
;2;Fundamentos de eletrônica digital 2;Idem.;2;"Proporcionar a complementação do conteúdo por meio de encontros síncronos com o tutor,
permitindo que os alunos esclareçam dúvidas surgidas nas videoaulas do capítulo 3.";Idem.;Idem.;Plano de Aula;1;120;0;1;Plataforma de videoconferência;Não prevista;Não prevista;;Idem;idem
;2;Fundamentos de eletrônica digital 2;Idem.;3;Aplicar, de forma prática, os princípios da eletrônica digital utilizando o software Logisim para o estudo da Álgebra Booleana e a simplificação de circuitos, a análise de portas lógicas básicas e complexas, e a investigação do funcionamento de flip-flops, registradores, contadores e multiplexadores, visando desenvolver competências para o projeto e a avaliação de sistemas digitais.;Idem.;Idem.;Vídeo aula (roteiro;1;;40;1;AVA;Não prevista;Atividade Aberta;;Idem;idem
;2;Fundamentos de eletrônica digital 2;Idem.;4;Estudar por este eBook permite ao aluno compreender e aplicar os fundamentos da eletrônica digital, revisando conceitos de Álgebra Booleana, simplificação de circuitos, portas lógicas básicas e complexas, bem como flip-flops, registradores, contadores e multiplexadores. O material possibilita a consulta de explicações detalhadas no próprio ritmo de aprendizagem, preparando o estudante para quizzes, atividades práticas no Logisim e para atuar com segurança nas demandas do campo profissional.;Compreender (Entendimento) - Descrever, Explicar, Identificar.;"Estudantes: Participação ativa em discussões e atividades práticas.

Mentores: Facilitação das discussões e orientação nas atividades práticas.";Ebook;1;0;75;;AVA;Não prevista;Não prevista;;Idem;idem
